step,loss,alignment_loss,regularization_loss,alpha_min,alpha_mean,alpha_max,alpha_std,learning_rate,step_wall_s,alpha_layer_00,alpha_layer_01,alpha_layer_02,alpha_layer_03,alpha_layer_04,alpha_layer_05,alpha_layer_06,alpha_layer_07,alpha_layer_08,alpha_layer_09,alpha_layer_10,alpha_layer_11,alpha_layer_12,alpha_layer_13,alpha_layer_14,alpha_layer_15,alpha_layer_16,alpha_layer_17,alpha_layer_18,alpha_layer_19,alpha_layer_20,alpha_layer_21,alpha_layer_22,alpha_layer_23,alpha_layer_24,alpha_layer_25,alpha_layer_26,alpha_layer_27,alpha_layer_28,alpha_layer_29
1,30.0,0.0,30.0,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.0,0.0004,45.719700459972955,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124,0.9995999932289124
2,29.987998962402344,0.0,29.987998962402344,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.0,0.0008,35.638069043983705,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371,0.9987999796867371
3,29.964000701904297,0.0,29.964000701904297,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.0,0.0012,35.651619849028066,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741,0.9975999593734741
4,30.356263905763626,0.428266316652298,29.927997589111328,0.9959981441497803,0.996039851506551,0.9966472387313843,0.00012523684419258216,0.0016,35.74835313600488,0.9960007071495056,0.9960477948188782,0.9962167143821716,0.9959981441497803,0.9962205290794373,0.9966472387313843,0.995998740196228,0.9960071444511414,0.9959990978240967,0.9960317015647888,0.9960139393806458,0.995998203754425,0.9959981441497803,0.9960086941719055,0.9959993362426758,0.9959982633590698,0.9960001111030579,0.996001660823822,0.9960020184516907,0.9959999918937683,0.9960018396377563,0.9960024356842041,0.996001660823822,0.9960015416145325,0.9960020184516907,0.9959996938705444,0.9960005283355713,0.9959999322891235,0.9959981441497803,0.9959995746612549
5,30.27650918563207,0.3953141172726949,29.881195068359375,0.9939974546432495,0.9941069145997365,0.9953312277793884,0.00027491817118816464,0.002,35.738120598951355,0.9940205216407776,0.9941181540489197,0.9947310090065002,0.9942610263824463,0.9944583773612976,0.9953312277793884,0.9940406084060669,0.9940304160118103,0.994003415107727,0.9940804839134216,0.9940330982208252,0.9940133690834045,0.9940029978752136,0.9940176606178284,0.9940043091773987,0.994008481502533,0.9940063953399658,0.9940060973167419,0.9940139055252075,0.9940038919448853,0.9940035343170166,0.9940044283866882,0.994006335735321,0.9940043091773987,0.9940043687820435,0.9939998984336853,0.9940013289451599,0.9940006136894226,0.9939974546432495,0.993999719619751
6,30.323911716540653,0.500705768664678,29.823205947875977,0.9915955066680908,0.9918176313241323,0.9941888451576233,0.000529168263768148,0.0024,35.771985500934534,0.9916471838951111,0.9917871356010437,0.9929735660552979,0.9924225807189941,0.9922720789909363,0.9941888451576233,0.9916752576828003,0.9917186498641968,0.9916552305221558,0.9917441010475159,0.9917067289352417,0.9916635155677795,0.9916175007820129,0.9916445016860962,0.9916099905967712,0.9916397929191589,0.9916228652000427,0.9916141629219055,0.9916486740112305,0.9916138648986816,0.9916045665740967,0.9916136264801025,0.9916202425956726,0.9916104078292847,0.9916089177131653,0.9916032552719116,0.991603434085846,0.9916033148765564,0.9915955066680908,0.991599440574646
7,30.13476832707723,0.3802402814229329,29.754528045654297,0.9887946248054504,0.9892443319161733,0.9930815100669861,0.0009599053625195317,0.0028000000000000004,36.834910733043216,0.988908052444458,0.9894677996635437,0.9919065833091736,0.9904274940490723,0.990243673324585,0.9930815100669861,0.9890676736831665,0.9890046119689941,0.9889623522758484,0.9891269207000732,0.9890151023864746,0.9889872074127197,0.9888487458229065,0.9889509081840515,0.9888320565223694,0.9889097809791565,0.9888446927070618,0.9888237714767456,0.9889112114906311,0.9888253211975098,0.9888139963150024,0.9888949394226074,0.9888319373130798,0.9888155460357666,0.9888153672218323,0.988805890083313,0.9888065457344055,0.9888066053390503,0.9887946248054504,0.9887990355491638
8,30.029325822989147,0.3519958058993022,29.677330017089844,0.9855982065200806,0.9863264580567678,0.9918394088745117,0.0015495899374071578,0.0032,49.923017339082435,0.985784649848938,0.9869896769523621,0.991569995880127,0.9879851341247559,0.987720787525177,0.9918394088745117,0.9861629605293274,0.9859291911125183,0.985877513885498,0.9861180782318115,0.9859256744384766,0.9859120845794678,0.9856828451156616,0.9858499765396118,0.9856538772583008,0.9857749938964844,0.9856679439544678,0.9856314659118652,0.9857673048973083,0.9856357574462891,0.9856228828430176,0.985774576663971,0.9856426119804382,0.9856244921684265,0.9856221079826355,0.9856094121932983,0.98561030626297,0.9856102466583252,0.9855982065200806,0.9855995774269104
9,30.12788055340449,0.5380863944689432,29.589794158935547,0.9820027947425842,0.983188541730245,0.9921597242355347,0.0024303258580532826,0.0036,47.4880849031033,0.9822427034378052,0.9852697849273682,0.9921597242355347,0.9851917624473572,0.9864507913589478,0.990459680557251,0.98345947265625,0.9825905561447144,0.982390820980072,0.9827819466590881,0.9824510216712952,0.9824836254119873,0.982124388217926,0.9823486804962158,0.9820805191993713,0.9822660684585571,0.98209547996521,0.9820446372032166,0.9822300672531128,0.982053279876709,0.9820330142974854,0.9822654724121094,0.9820603728294373,0.9820379614830017,0.9820336699485779,0.9820136427879333,0.9820155501365662,0.9820148944854736,0.9820038676261902,0.9820027947425842
10,29.983999570210774,0.4883445103963216,29.495655059814453,0.9780084490776062,0.979724669456482,0.9919318556785583,0.0033661848146035642,0.004,45.24407414998859,0.9784603714942932,0.9831515550613403,0.9919318556785583,0.9822688102722168,0.9848880171775818,0.9893742203712463,0.9809403419494629,0.9791824817657471,0.9786757230758667,0.9790374636650085,0.978597104549408,0.9788038730621338,0.9781730771064758,0.9785104990005493,0.9781597852706909,0.978340744972229,0.978111743927002,0.9780550003051758,0.9783002138137817,0.9780717492103577,0.9780505299568176,0.9783797860145569,0.9780806303024292,0.9780574440956116,0.9780464768409729,0.9780209064483643,0.9780223965644836,0.978022038936615,0.9780167937278748,0.9780084490776062
